schedule_operation_id,machine_id,task,task_mode,planned_start,planned_end,product_finished
TEXTILE-SCHEDULE-0147,MAQ120,Ironing,Ironing TM1,2026-01-05T14:35:00+00:00,2026-01-05T15:20:00+00:00,
TEXTILE-SCHEDULE-0148,MAQ120,Ironing,Ironing TM1,2026-01-05T15:20:00+00:00,2026-01-05T16:05:00+00:00,SMOOTH STRAP(A)
TEXTILE-SCHEDULE-0149,MAQ120,Ironing,Ironing TM1,2026-01-05T16:05:00+00:00,2026-01-05T16:50:00+00:00,
TEXTILE-SCHEDULE-0150,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-05T16:50:00+00:00,2026-01-05T16:55:00+00:00,
TEXTILE-SCHEDULE-0151,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-05T17:25:00+00:00,2026-01-05T17:30:00+00:00,
TEXTILE-SCHEDULE-0152,MAQ120,Ironing,Ironing TM1,2026-01-05T18:05:00+00:00,2026-01-05T18:50:00+00:00,GORGORÃO RIBBON
TEXTILE-SCHEDULE-0153,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-05T18:50:00+00:00,2026-01-05T18:55:00+00:00,BRAIDED ELASTIC
TEXTILE-SCHEDULE-0154,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-05T19:25:00+00:00,2026-01-05T19:30:00+00:00,BRAIDED ELASTIC
TEXTILE-SCHEDULE-0155,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-05T20:00:00+00:00,2026-01-05T20:05:00+00:00,BRAIDED ELASTIC
TEXTILE-SCHEDULE-0156,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-05T20:35:00+00:00,2026-01-05T20:40:00+00:00,
TEXTILE-SCHEDULE-0157,MAQ120,Ironing,Ironing TM1,2026-01-05T21:10:00+00:00,2026-01-05T21:55:00+00:00,
TEXTILE-SCHEDULE-0158,MAQ120,Sublimation,Sublimation TM1,2026-01-05T21:55:00+00:00,2026-01-05T22:00:00+00:00,
TEXTILE-SCHEDULE-0159,MAQ120,Sublimation,Sublimation TM1,2026-01-05T22:20:00+00:00,2026-01-05T22:25:00+00:00,PRINTED RIBBON PES
TEXTILE-SCHEDULE-0160,MAQ120,Sublimation,Sublimation TM1,2026-01-05T22:40:00+00:00,2026-01-05T22:45:00+00:00,
TEXTILE-SCHEDULE-0161,MAQ120,Ironing,Ironing TM1,2026-01-06T00:45:00+00:00,2026-01-06T01:30:00+00:00,
TEXTILE-SCHEDULE-0162,MAQ120,Ironing,Ironing TM1,2026-01-06T02:25:00+00:00,2026-01-06T03:10:00+00:00,
TEXTILE-SCHEDULE-0163,MAQ120,Sublimation,Sublimation TM1,2026-01-06T03:10:00+00:00,2026-01-06T03:15:00+00:00,
TEXTILE-SCHEDULE-0164,MAQ120,Sublimation,Sublimation TM1,2026-01-06T03:30:00+00:00,2026-01-06T03:35:00+00:00,
TEXTILE-SCHEDULE-0165,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-06T04:00:00+00:00,2026-01-06T04:05:00+00:00,
TEXTILE-SCHEDULE-0166,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-06T04:35:00+00:00,2026-01-06T04:40:00+00:00,
TEXTILE-SCHEDULE-0167,MAQ120,Sublimation,Sublimation TM1,2026-01-06T05:10:00+00:00,2026-01-06T05:15:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0168,MAQ120,Ironing,Ironing TM1,2026-01-06T05:40:00+00:00,2026-01-06T06:25:00+00:00,
TEXTILE-SCHEDULE-0169,MAQ120,Sublimation,Sublimation TM1,2026-01-06T06:25:00+00:00,2026-01-06T06:30:00+00:00,
TEXTILE-SCHEDULE-0170,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-06T07:00:00+00:00,2026-01-06T07:05:00+00:00,
TEXTILE-SCHEDULE-0171,MAQ120,Sublimation,Sublimation TM1,2026-01-06T07:35:00+00:00,2026-01-06T07:40:00+00:00,PRINTED RIBBON PES
TEXTILE-SCHEDULE-0172,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-06T07:55:00+00:00,2026-01-06T08:00:00+00:00,
TEXTILE-SCHEDULE-0173,MAQ120,Ironing,Ironing TM1,2026-01-06T08:30:00+00:00,2026-01-06T09:15:00+00:00,
TEXTILE-SCHEDULE-0174,MAQ120,Sublimation,Sublimation TM1,2026-01-06T09:15:00+00:00,2026-01-06T09:20:00+00:00,
TEXTILE-SCHEDULE-0175,MAQ120,Sublimation,Sublimation TM1,2026-01-06T09:35:00+00:00,2026-01-06T09:40:00+00:00,
TEXTILE-SCHEDULE-0176,MAQ120,Sublimation,Sublimation TM1,2026-01-06T09:55:00+00:00,2026-01-06T10:00:00+00:00,
TEXTILE-SCHEDULE-0177,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-06T10:15:00+00:00,2026-01-06T10:20:00+00:00,
TEXTILE-SCHEDULE-0178,MAQ120,Ironing,Ironing TM1,2026-01-06T11:00:00+00:00,2026-01-06T11:45:00+00:00,
TEXTILE-SCHEDULE-0179,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-06T11:45:00+00:00,2026-01-06T11:50:00+00:00,
